Energy (eV),400mL,50mL,800mL
1.680002615,0.068858102,0.063943356,0.06998308
1.68228213,0.068739124,0.064009137,0.070094131
1.68456784,0.068769388,0.063862987,0.070026696
1.686859769,0.068764597,0.063949056,0.069977485
1.689157943,0.068876728,0.06388928,0.069983475
1.691462388,0.068815306,0.063875251,0.069899514
1.693773129,0.068647727,0.063801184,0.069797181
1.696090192,0.06861005,0.063711941,0.069871634
1.698413603,0.068631418,0.063796207,0.069860078
1.700743388,0.068517923,0.063648604,0.069799945
1.703079574,0.068475097,0.063686341,0.06974332
1.705422187,0.068548299,0.063610271,0.069729671
1.707771254,0.068439275,0.063576378,0.069675088
1.7101268,0.068371765,0.063591421,0.069558188
1.712488854,0.06835904,0.063551329,0.069590367
1.714857441,0.06840349,0.063503057,0.069714598
1.71723259,0.068418399,0.063518934,0.069605134
1.719614327,0.068502106,0.063596189,0.069685116
1.722002681,0.068352371,0.06345614,0.069622874
1.724397677,0.068281449,0.062995292,0.069468603
1.726799346,0.068241924,0.063328266,0.069520816
1.729207713,0.068277754,0.063400984,0.069598995
1.731622807,0.068284541,0.063386582,0.069487192
1.734044657,0.068063729,0.063411199,0.069298401
1.736473291,0.067839064,0.063325867,0.06906949
1.738908738,0.067842118,0.063028656,0.069121055
1.741351025,0.067969725,0.06304545,0.069233701
1.743800183,0.067345344,0.062464774,0.06876038
1.74625624,0.067669176,0.062757768,0.068924204
1.748719224,0.068393156,0.062789112,0.069418542
1.751189167,0.068285756,0.063098609,0.069674812
1.753666096,0.068202756,0.06330613,0.069560044
1.756150043,0.068290301,0.063379571,0.069600664
1.758641036,0.068218023,0.063417882,0.069594406
1.761139105,0.068204485,0.063390955,0.069506787
1.763644282,0.068293601,0.063329309,0.069611333
1.766156596,0.06827376,0.063416414,0.06957642
1.768676077,0.068201669,0.063332759,0.069564417
1.771202757,0.068157449,0.063240252,0.069500104
1.773736667,0.068133071,0.063326828,0.069488071
1.776277837,0.068185978,0.063371658,0.069563232
1.778826299,0.068149604,0.063284777,0.069540747
1.781382083,0.068165235,0.063289687,0.069709249
1.783945223,0.068143852,0.063214317,0.069481052
1.786515749,0.068160236,0.063262559,0.069546066
1.789093694,0.068132468,0.063246869,0.069592677
1.79167909,0.068066575,0.063150786,0.069505021
1.794271968,0.068188764,0.06329304,0.069575749
1.796872362,0.068071753,0.063117705,0.069454201
1.799480305,0.068159901,0.063231029,0.069539808
1.802095829,0.068052374,0.063142106,0.069445089
1.804718967,0.067986436,0.063071311,0.069444448
1.807349752,0.067935705,0.063083045,0.069503471
1.809988219,0.067980081,0.06308385,0.069481634
1.812634401,0.067888118,0.063052841,0.069358319
1.815288331,0.067981444,0.063082688,0.06947431
1.817950044,0.067986101,0.062977366,0.069490016
1.820619574,0.067950532,0.063053325,0.069391996
1.823296956,0.067838214,0.063012861,0.06940788
1.825982224,0.067829199,0.062485337,0.069293186
1.828675413,0.06787426,0.062547877,0.069380946
1.831376558,0.067817211,0.062495112,0.069446094
1.834085695,0.067379653,0.062395073,0.068781912
1.836802859,0.066937909,0.06208124,0.068484917
1.839528086,0.066945337,0.062042721,0.068567999
1.842261412,0.066950291,0.06204278,0.068501741
1.845002872,0.067436218,0.062536724,0.06890367
1.847752504,0.067314386,0.062543541,0.068985887
1.850510343,0.067293294,0.062516548,0.068843298
1.853276428,0.067362271,0.06286034,0.068973146
1.856050794,0.067582421,0.062856242,0.069376506
1.858833478,0.067619748,0.06269224,0.069308728
1.86162452,0.067762867,0.062856719,0.069101751
1.864423955,0.067720756,0.062845893,0.069248304
1.867231822,0.067710646,0.062810324,0.069289207
1.87004816,0.067676127,0.062806554,0.069266647
1.872873006,0.06770239,0.062780142,0.069215886
1.8757064,0.067704476,0.062834911,0.069298737
1.878548379,0.06771192,0.062775113,0.069359049
1.881398983,0.067706414,0.062817499,0.0692828
1.884258252,0.067578219,0.062754832,0.069186166
1.887126225,0.067694403,0.062821031,0.069277845
1.890002942,0.067715093,0.062866233,0.069388114
1.892888443,0.067699179,0.06285008,0.069342196
1.895782768,0.067744292,0.062887415,0.069441721
1.898685957,0.067886062,0.062877037,0.069400109
1.901598052,0.067935824,0.062959351,0.069533184
1.904519094,0.067795821,0.062888287,0.069547735
1.907449123,0.06784799,0.062941037,0.069467567
1.910388182,0.067841001,0.062903963,0.069519788
1.913336312,0.067905977,0.062984787,0.069480352
1.916293555,0.067945324,0.063030995,0.06957408
1.919259954,0.06792181,0.0630318,0.069511615
1.922235551,0.067993127,0.063059486,0.069547072
1.925220388,0.067885093,0.063079245,0.069609083
1.92821451,0.068052463,0.063133605,0.069722012
1.93121796,0.068119533,0.06324172,0.069690764
1.93423078,0.06814491,0.063145101,0.069763109
1.937253016,0.068155542,0.063321613,0.069812961
1.940284711,0.068234958,0.063299365,0.069827035
1.943325909,0.068288662,0.063304275,0.06982737
1.946376656,0.068318501,0.063357554,0.069935612
1.949436997,0.068366855,0.06339182,0.07008297
1.952506977,0.068165384,0.063388288,0.06991037
1.955586641,0.068340406,0.063371904,0.069962189
1.958676035,0.068399824,0.063512519,0.070077032
1.961775206,0.06840419,0.063523851,0.070122875
1.9648842,0.068453342,0.063572481,0.070103958
1.968003064,0.068517201,0.063611917,0.070206761
1.971131844,0.068572305,0.063626006,0.070240386
1.974270589,0.068611167,0.063759185,0.070312843
1.977419346,0.068573669,0.063692637,0.070364647
1.980578163,0.068730876,0.063866191,0.070538886
1.983747088,0.068807907,0.063883975,0.070559897
1.98692617,0.068836898,0.063974969,0.070542417
1.990115458,0.068894386,0.063971579,0.070504963
1.993315,0.068936586,0.064053744,0.070619926
1.996524847,0.069105692,0.064205535,0.070747614
1.999745049,0.069148369,0.064230688,0.070880868
2.002975654,0.069288962,0.064398006,0.07095407
2.006216715,0.06932018,0.06433361,0.070967756
2.009468282,0.06935215,0.064419322,0.07097318
2.012730406,0.069592066,0.064678818,0.071194112
2.016003138,0.06952747,0.064646825,0.071216986
2.019286531,0.069761917,0.064850844,0.07145115
2.022580636,0.069902889,0.064966425,0.071484812
2.025885507,0.069894321,0.064978391,0.071592733
2.029201195,0.070028096,0.065175198,0.071773209
2.032527754,0.070291206,0.065408058,0.071963228
2.035865238,0.070383616,0.065516047,0.072050214
2.039213701,0.07060162,0.065538563,0.072094277
2.042573196,0.070692755,0.065704435,0.072293885
2.045943779,0.070816964,0.065801829,0.072350539
2.049325504,0.071014576,0.066025473,0.072617173
2.052718427,0.071171239,0.066305473,0.072789349
2.056122604,0.071345188,0.066317081,0.07288149
2.05953809,0.071558885,0.066447712,0.073274441
2.062964942,0.071944311,0.066701718,0.073199712
2.066403217,0.071869627,0.066954911,0.073231846
2.069852972,0.072165094,0.067206465,0.073655508
2.073314264,0.072341673,0.06731315,0.073722467
2.076787153,0.072634034,0.067494266,0.073949955
2.080271695,0.072773159,0.06755551,0.074053913
2.08376795,0.073036686,0.067818694,0.074264281
2.087275977,0.073149771,0.067994244,0.074487351
2.090795835,0.073455334,0.068197757,0.074665219
2.094327585,0.073580861,0.068486616,0.074781157
2.097871286,0.073860742,0.068596952,0.075044706
2.101427,0.074057907,0.068750009,0.075123668
2.104994788,0.074250765,0.068964221,0.075309798
2.108574711,0.074492238,0.069111764,0.075463548
2.112166832,0.07460063,0.069509126,0.075703718
2.115771212,0.074778639,0.069400504,0.075774476
2.119387915,0.074966095,0.069705717,0.07597661
2.123017004,0.075046733,0.06973435,0.076068141
2.126658542,0.075338677,0.06984394,0.076213732
2.130312595,0.075420834,0.070055589,0.076350339
2.133979226,0.075566083,0.070127137,0.076490901
2.1376585,0.075651608,0.070347272,0.07659927
2.141350484,0.075883195,0.070403948,0.076727659
2.145055242,0.076015525,0.070638195,0.076807261
2.148772842,0.076172762,0.070741616,0.077038996
2.152503351,0.076364964,0.071034275,0.077223077
2.156246835,0.076606743,0.071205914,0.07733126
2.160003363,0.076739237,0.071378686,0.077529386
2.163773002,0.076766916,0.071446761,0.077816315
2.167555822,0.077142499,0.071788229,0.077864714
2.171351892,0.077257775,0.071928762,0.078112692
2.175161281,0.0774692,0.072147608,0.078223392
2.17898406,0.077754699,0.072369561,0.07846085
2.182820299,0.077582926,0.072116829,0.078284957
2.186670071,0.077901043,0.072494529,0.078708671
2.190533445,0.07813479,0.072678924,0.078688405
2.194410496,0.078428999,0.072907239,0.078909226
2.198301294,0.078761823,0.073161721,0.079157338
2.202205915,0.078911342,0.073273674,0.07936357
2.206124431,0.079337038,0.073543087,0.079531357
2.210056916,0.079897419,0.073894218,0.07990218
2.214003447,0.08003518,0.074079826,0.080248125
2.217964097,0.080290787,0.074185513,0.080411449
2.221938943,0.080436029,0.074332193,0.080570415
2.225928061,0.080562845,0.074419998,0.080684081
2.229931529,0.080904484,0.074689165,0.080927901
2.233949424,0.081066243,0.074866131,0.081107147
2.237981823,0.081151336,0.074857183,0.080983177
2.242028807,0.081225947,0.075017534,0.081159383
2.246090453,0.081339471,0.075080924,0.08127027
2.250166842,0.081439912,0.07510145,0.081389204
2.254258055,0.081384026,0.075087972,0.081224859
2.258364171,0.081324145,0.075141177,0.08109086
2.262485274,0.081008129,0.075121634,0.08099515
2.266621444,0.081057794,0.075157918,0.081084527
2.270772766,0.081078008,0.075128987,0.081090085
2.274939321,0.080973662,0.075105816,0.081193991
2.279121195,0.080956131,0.075055934,0.081201762
2.283318472,0.081020385,0.075210057,0.081262812
2.287531236,0.08073134,0.074895814,0.080964923
2.291759575,0.080517039,0.07511948,0.080939539
2.296003574,0.080776729,0.07537926,0.0811738
2.300263321,0.08084745,0.075576372,0.081294149
2.304538904,0.081371412,0.075876936,0.081999138
2.30883041,0.081778526,0.076144323,0.082202226
2.313137929,0.081929579,0.076196857,0.082370326
2.317461552,0.082036532,0.076325245,0.08249858
2.321801367,0.082336441,0.076655999,0.082702212
2.326157467,0.08250957,0.076746963,0.082845978
2.330529944,0.082668297,0.076984011,0.083112583
2.334918889,0.082956731,0.07713978,0.083195433
2.339324396,0.083036825,0.077313319,0.08337082
2.34374656,0.083336949,0.07753595,0.08361534
2.348185474,0.083552487,0.077775873,0.083820753
2.352641234,0.0837989,0.077909715,0.084037639
2.357113936,0.083928712,0.078039698,0.08399947
2.361603676,0.084233753,0.078267038,0.084466472
2.366110554,0.084324338,0.078383043,0.084584057
2.370634666,0.084498987,0.07857269,0.084530182
2.375176111,0.084671408,0.078770392,0.084780864
2.379734991,0.084758617,0.078837961,0.08488147
2.384311404,0.084900826,0.078943349,0.085046113
2.388905453,0.084983267,0.079007991,0.085120954
