Energy (eV),IsoM5,IsoM16,IsoS5,IsoS16
1.484840635,99.11109924,99.33433533,97.35019684,97.34208679
1.486621019,99.24980164,99.4548111,97.40317535,97.42311859
1.488405678,99.09849548,99.30259705,97.31063843,97.27742004
1.490194628,99.09840393,99.33203125,97.33812714,97.33200836
1.491987882,99.12343597,99.38357544,97.41956329,97.43230438
1.493785458,99.07754517,99.2721405,97.32927704,97.30136108
1.49558737,99.15721893,99.3870163,97.35758972,97.44586945
1.497393635,99.09951782,99.36195374,97.4104538,97.43848419
1.499204269,99.09608459,99.34241486,97.41184235,97.39224243
1.501019286,99.1060791,99.36524963,97.4211731,97.37866211
1.502838703,99.16374207,99.42487335,97.40560913,97.4414444
1.504662537,99.12301636,99.35694885,97.44287872,97.37666321
1.506490802,99.08193207,99.34674835,97.42068481,97.46070862
1.508323516,99.07958984,99.34333801,97.37317657,97.44345856
1.510160694,99.07802582,99.35790253,97.38187408,97.38948822
1.512002354,99.0958786,99.33483887,97.4165802,97.43470001
1.51384851,99.09068298,99.33132935,97.38103485,97.42990112
1.515699181,99.12194061,99.40034485,97.41410828,97.46220398
1.517554382,99.09059906,99.26863861,97.47151947,97.44012451
1.51941413,99.08532715,99.22025299,97.4234314,97.43783569
1.521278442,99.07990265,99.28857422,97.45973206,97.46482849
1.523147334,99.10568237,99.34266663,97.43415833,97.47210693
1.525020824,99.10012817,99.3175354,97.43112183,97.45644379
1.526898929,99.03677368,99.21894073,97.35157776,97.47226715
1.528781665,99.06331635,99.2579422,97.40406036,97.45897675
1.530669049,98.98565674,99.21238708,97.35964203,97.4378891
1.5325611,98.99082947,99.24461365,97.42064667,97.46443939
1.534457834,98.96655273,99.20410156,97.44903564,97.46928406
1.536359269,99.06797791,99.29372406,97.44171906,97.51380157
1.538265422,98.96585083,99.27775574,97.431633,97.45010376
1.540176311,98.97557831,99.30186462,97.46656799,97.49092102
1.542091953,99.05307007,99.30399323,97.54386902,97.54567719
1.544012366,98.93078613,99.21576691,97.43244934,97.438797
1.545937569,98.97241211,99.26039124,97.49474335,97.48868561
1.547867578,98.92684937,99.22274017,97.48072815,97.50500488
1.549802413,98.89831543,99.20292664,97.46807861,97.47459412
1.55174209,98.9251709,99.21633911,97.42729187,97.44340515
1.553686629,98.92618561,99.16094971,97.41911316,97.47457886
1.555636048,98.88348389,99.16079712,97.42209625,97.48396301
1.557590364,98.98860931,99.21207428,97.52891541,97.55497742
1.559549598,98.95051575,99.23309326,97.53540802,97.51123047
1.561513766,98.89357758,99.20650482,97.47296906,97.54679108
1.563482888,98.83278656,99.16555786,97.47637177,97.51308441
1.565456982,98.90520477,99.19697571,97.51964569,97.55443573
1.567436068,98.81890869,99.16837311,97.49401855,97.49487305
1.569420165,98.84563446,99.14817047,97.45459747,97.48204041
1.57140929,98.80843353,99.11920929,97.45548248,97.51873779
1.573403465,98.82357025,99.13420868,97.49156189,97.50455475
1.575402707,98.85142517,99.15138245,97.52149963,97.50099945
1.577407036,98.86472321,99.1774826,97.51820374,97.55631256
1.579416471,98.83979034,99.14037323,97.52048492,97.56481171
1.581431033,98.81879425,99.16150665,97.51621246,97.55822754
1.583450741,98.82836914,99.1668396,97.51477051,97.52217102
1.585475614,98.82226563,99.12754059,97.5092926,97.53090668
1.587505672,98.7781601,99.07344818,97.48941803,97.54549408
1.589540936,98.76903534,99.13227844,97.52462006,97.53330994
1.591581425,98.76730347,99.07034302,97.48434448,97.53286743
1.59362716,98.79836273,99.09130096,97.53201294,97.57299042
1.59567816,98.75720978,99.10993958,97.49533844,97.56253052
1.597734446,98.68211365,99.04618835,97.48144531,97.50444031
1.599796039,98.66832733,99.04260254,97.48234558,97.54680634
1.601862959,98.72655487,99.07718658,97.52051544,97.60305023
1.603935227,98.74749756,99.10641479,97.55361938,97.57468414
1.606012863,98.67519379,99.03227997,97.52604675,97.54672241
1.608095889,98.69327545,99.05459595,97.52823639,97.508255
1.610184325,98.66018677,99.05671692,97.4936142,97.54568481
1.612278193,98.66400146,99.02841187,97.47727966,97.52410889
1.614377513,98.65909576,99.04718018,97.49970245,97.53103638
1.616482308,98.63816071,99.05197906,97.51342773,97.54886627
1.618592598,98.6829071,99.00687408,97.56419373,97.55264282
1.620708405,98.62481689,98.9747467,97.50376892,97.5306015
1.622829751,98.64906311,99.01846313,97.55606842,97.59339142
1.624956658,98.5819397,99.00266266,97.51340485,97.50331879
1.627089147,98.5532074,98.95631409,97.48391724,97.55223083
1.629227241,98.53264618,98.93821716,97.48418427,97.53523254
1.631370961,98.59247589,98.98545837,97.52639771,97.54879761
1.63352033,98.58650208,98.99241638,97.55789948,97.52840424
1.63567537,98.53813171,98.95290375,97.50563049,97.52897644
1.637836103,98.52462769,98.9175415,97.52583313,97.48181152
1.640002553,98.52483368,98.93942261,97.47101593,97.52553558
1.642174742,98.50588226,98.91749573,97.49911499,97.4980545
1.644352692,98.52146912,98.92555237,97.53887939,97.5398407
1.646536428,98.52394867,98.89667511,97.51018524,97.54217529
1.648725971,98.46641541,98.88546753,97.5171051,97.52846527
1.650921345,98.4432373,98.82803345,97.45713043,97.48716736
1.653122573,98.43575287,98.88326263,97.52986145,97.50583649
1.65532968,98.38864899,98.83922577,97.49263763,97.49108887
1.657542687,98.42064667,98.86022949,97.48149872,97.52405548
