Energy (eV),NI old
1.32603415,0.47134769
1.327453887,0.470979542
1.328876667,0.470660806
1.3303025,0.470475435
1.331731396,0.47034502
1.333163366,0.470301271
1.334598418,0.470287919
1.336036563,0.470233262
1.33747781,0.470189363
1.338922171,0.470272124
1.340369654,0.470484734
1.341820271,0.470635682
1.34327403,0.47082299
1.344730944,0.471072048
1.346191021,0.471302152
1.347654272,0.471599132
1.349120707,0.471807778
1.350590338,0.472034067
1.352063173,0.472385913
1.353539225,0.472729296
1.355018503,0.472951382
1.356501018,0.473257363
1.35798678,0.473376513
1.359475801,0.473652452
1.36096809,0.473924667
1.362463659,0.474381596
1.363962519,0.474496663
1.365464681,0.474893808
1.366970154,0.47526452
1.368478952,0.475525826
1.369991083,0.475955814
1.37150656,0.476475686
1.373025393,0.476667851
1.374547594,0.476928681
1.376073174,0.477565825
1.377602145,0.477889955
1.379134516,0.478431046
1.380670301,0.478922397
1.38220951,0.479271323
1.383752154,0.479717046
1.385298246,0.480235696
1.386847797,0.480658412
1.388400818,0.48108089
1.389957321,0.481533587
1.391517318,0.48198694
1.39308082,0.482256323
1.39464784,0.482648075
1.39621839,0.483070284
1.39779248,0.483263344
1.399370124,0.483829081
1.400951333,0.484228671
1.40253612,0.48436904
1.404124496,0.484722853
1.405716474,0.484892637
1.407312066,0.485264182
1.408911284,0.485696018
1.410514141,0.485758513
1.412120649,0.485836655
1.413730821,0.486064524
1.415344669,0.486281544
1.416962206,0.486615956
1.418583444,0.486692011
1.420208396,0.486873686
1.421837076,0.486979157
1.423469495,0.486852408
1.425105667,0.487150431
1.426745604,0.487366051
1.42838932,0.487438887
1.430036828,0.487487376
1.431688141,0.487593621
1.433343272,0.487957418
1.435002234,0.488167673
1.436665041,0.488223434
1.438331705,0.488470614
1.440002242,0.488507539
1.441676663,0.488873154
1.443354983,0.489342958
1.445037215,0.489343077
1.446723372,0.48935011
1.44841347,0.489452779
1.450107521,0.489847124
1.451805539,0.490526736
1.453507538,0.490410298
1.455213533,0.490494102
1.456923537,0.490848422
1.458637565,0.491231114
1.46035563,0.491863012
1.462077748,0.492694408
1.463803932,0.493567914
1.465534196,0.494632959
1.467268556,0.495603919
1.469007026,0.497211158
1.470749621,0.498823643
1.472496354,0.499783129
1.474247241,0.501591444
1.476002298,0.503481805
1.477761538,0.505714893
1.479524976,0.507647395
1.481292629,0.510027051
1.48306451,0.511849642
1.484840635,0.51415503
1.486621019,0.516092241
1.488405678,0.518517673
