Energy (eV),Suspended
1.515699181,0.270267487
1.517554382,0.269412935
1.51941413,0.268480271
1.521278442,0.26790899
1.523147334,0.26715368
1.525020824,0.266275674
1.526898929,0.265444607
1.528781665,0.264651716
1.530669049,0.263962746
1.5325611,0.263041139
1.534457834,0.2623339
1.536359269,0.261884034
1.538265422,0.26092726
1.540176311,0.260396481
1.542091953,0.259682953
1.544012366,0.259176076
1.545937569,0.258126557
1.547867578,0.257853806
1.549802413,0.257090032
1.55174209,0.255589813
1.553686629,0.254883647
1.555636048,0.254207343
1.557590364,0.254638851
1.559549598,0.253232926
1.561513766,0.252901018
1.563482888,0.251519084
1.565456982,0.251130134
1.567436068,0.250456959
1.569420165,0.249800995
1.57140929,0.249659538
1.573403465,0.248636678
1.575402707,0.248139441
1.577407036,0.247758523
1.579416471,0.246938422
1.581431033,0.246028796
1.583450741,0.24478811
1.585475614,0.244320616
1.587505672,0.243515298
1.589540936,0.243604466
1.591581425,0.242874071
1.59362716,0.242049664
1.59567816,0.241783261
1.597734446,0.240559891
1.599796039,0.239831701
1.601862959,0.239376381
1.603935227,0.23844488
1.606012863,0.237759531
1.608095889,0.237631068
1.610184325,0.237254247
1.612278193,0.236427307
1.614377513,0.235828072
1.616482308,0.235289216
1.618592598,0.234809995
1.620708405,0.234899581
1.622829751,0.233940572
1.624956658,0.233533889
1.627089147,0.233536005
1.629227241,0.232182637
1.631370961,0.232219443
1.63352033,0.231682867
1.63567537,0.231703654
1.637836103,0.231577635
1.640002553,0.230983868
1.642174742,0.230850071
1.644352692,0.230304584
1.646536428,0.230056897
1.648725971,0.229486108
1.650921345,0.229201004
1.653122573,0.229358614
1.65532968,0.228882074
1.657542687,0.228645578
1.65976162,0.22797814
1.661986501,0.227053717
1.664217356,0.227374673
1.666454207,0.227583975
1.66869708,0.226909339
1.670945997,0.226540178
1.673200985,0.226171389
1.675462068,0.225887373
1.677729269,0.225283057
1.680002615,0.225321069
1.68228213,0.224650204
1.68456784,0.224430367
