100x_HR25-042_Raw_A_1,
Wavelength (nm),Abs
921,0.3763729632
920,0.3766472638
919,0.3768615425
918,0.3770821691
917,0.3772070408
916,0.3773059547
915,0.3773815036
914,0.3774361908
913,0.3775049746
912,0.3775719404
911,0.3776886165
910,0.3778324425
909,0.3781329095
908,0.378361702
907,0.378728807
906,0.3791749477
905,0.3796601295
904,0.3802120388
903,0.3809325397
902,0.3816289902
901,0.3824850619
900,0.3833240271
899,0.3841421902
898,0.3850524724
897,0.3859598935
896,0.3870315552
895,0.388176471
894,0.3891835809
893,0.3902214766
892,0.3914367557
891,0.3924605846
890,0.3936848342
889,0.3949204385
888,0.3960791826
887,0.3972188532
886,0.3983888328
885,0.3995373249
884,0.4006762803
883,0.4018287957
882,0.4030196667
881,0.4040315449
880,0.4050160944
879,0.4060305655
878,0.4069300294
877,0.4079231024
876,0.408752948
875,0.4095404446
874,0.4102610052
873,0.4108309448
872,0.41131863
871,0.411837399
870,0.4123566449
869,0.4127292931
868,0.4130399525
867,0.4132783115
866,0.4134697914
865,0.4135943949
864,0.4137576222
863,0.4138271511
862,0.4137828946
861,0.4136895835
860,0.4136045873
859,0.4135079682
858,0.4133701324
857,0.4132184088
856,0.4130924642
855,0.4129252434
854,0.4128519595
853,0.4126319289
852,0.4125781059
851,0.4124600887
850,0.4124572873
849,0.4125201106
848,0.4125797749
847,0.412746191
846,0.412978977
845,0.4132457674
844,0.4135588706
843,0.4140232503
842,0.4144343138
841,0.4151504934
840,0.4156102538
839,0.4163877368
838,0.417147249
837,0.4179828763
836,0.4188680053
835,0.4196442366
834,0.4207190275
833,0.4217327833
832,0.4228363931
831,0.4240415394
830,0.4250838459
829,0.4264338911
828,0.4278622866
827,0.4292541146
826,0.4304350019
825,0.4319316745
824,0.4331670403
823,0.4346631765
822,0.4361290932
821,0.4377736449
820,0.4390626252
819,0.4405190945
818,0.4419910014
817,0.4433576465
816,0.4447228014
815,0.4462034404
814,0.4474715889
813,0.4486167133
812,0.4496389925
811,0.4507443905
810,0.4518233836
809,0.4526138008
808,0.4534791112
807,0.4545192719
806,0.4549259841
805,0.4555613697
804,0.4558707178
803,0.4563140571
802,0.4563547671
801,0.4569658935
800,0.4567532241
799,0.4614150226
798,0.4608076215
797,0.4602056146
796,0.45923087
795,0.4575859606
794,0.457187295
793,0.4558647871
792,0.4551511407
791,0.4540339112
790,0.4523031712
789,0.4514324069
788,0.4504536092
787,0.4490838945
786,0.4475109577
785,0.4469500184
784,0.445417732
783,0.444806695
782,0.4452992976
781,0.4440276027
780,0.4435047507
779,0.4435236454
778,0.4433729053
777,0.4438720047
776,0.4439575672
775,0.4444345236
774,0.4450684488
773,0.445563525
772,0.4463710785
771,0.4470014572
770,0.4476882219
769,0.4491637647
768,0.4493472576
767,0.4502676129
766,0.4513237476
765,0.4521826804
764,0.4530494809
763,0.4551234543
762,0.455082655
761,0.456235081
760,0.45677495
759,0.4580894411
758,0.4585998058
757,0.4598881006
756,0.461199522
755,0.4620019495
754,0.4636222124
753,0.4647688568
752,0.4666889608
751,0.4682308435
750,0.4691698849
749,0.4706400633
748,0.472892642
747,0.4740742445
746,0.4762757123
745,0.478199631
744,0.4795942605
743,0.4818134606
742,0.483168155
741,0.484888941
740,0.4868266582
739,0.4888128638
738,0.4901491404
737,0.4919462502
736,0.4932731986
735,0.4939958155
734,0.4952182174
733,0.4956905246
732,0.4963218272
731,0.4964207411
730,0.4971101582
729,0.4966497123
728,0.496614635
727,0.496901691
726,0.495921284
725,0.4955331981
724,0.4952319264
723,0.4939208031
722,0.4929005802
721,0.4913462698
720,0.4898676872
719,0.4883593619
718,0.4859938622
717,0.4844026864
716,0.4826742113
715,0.4806553423
714,0.4789332449
713,0.4772572517
712,0.4755904078
711,0.4741668403
710,0.4728184044
709,0.4713993073
708,0.470654875
707,0.4702117443
706,0.469181031
705,0.4690399468
704,0.4689707756
703,0.4687239528
702,0.4688407481
701,0.4692342579
700,0.469388783
699,0.4701793194
698,0.4705587626
697,0.471618861
696,0.4724215865
695,0.4730466902
694,0.4740227461
693,0.4747636616
692,0.4755710065
691,0.476072371
690,0.4772128761
689,0.4781180024
688,0.4785923064
687,0.4791981578
686,0.4801757634
685,0.4804450572
684,0.4812150002
683,0.4817546606
682,0.4824804068
681,0.4831565917
680,0.4836192429
679,0.4841936529
678,0.4846460223
677,0.4850157797
676,0.4858387709
675,0.4859325588
674,0.4866115451
673,0.4875326157
672,0.4879867136
671,0.4882817566
670,0.4889959693
669,0.4900473654
668,0.4906409681
667,0.4915901423
666,0.4928930998
665,0.4938089252
664,0.4946487248
663,0.4961030185
662,0.4969659448
661,0.4986016154
660,0.4999287128
659,0.5016679168
658,0.503138721
657,0.5047669411
656,0.5060941577
655,0.5079348087
654,0.5092383623
653,0.5103730559
652,0.5117016435
651,0.5127930045
650,0.5134595633
649,0.5138981342
648,0.5145993233
647,0.5148561001
646,0.514287591
645,0.5141659379
644,0.5134824514
643,0.5124841928
642,0.5120436549
641,0.5108203888
640,0.5098983049
639,0.5085903406
638,0.5073953867
637,0.5063189268
636,0.5047979355
635,0.5036922693
634,0.5023231506
633,0.5013927817
632,0.4998528063
631,0.4990050495
630,0.4978066981
629,0.4970427454
628,0.4961624444
627,0.4962048829
626,0.495751828
625,0.4961523414
624,0.4963821173
623,0.4967932999
622,0.4973083436
621,0.498298049
620,0.4993443489
619,0.5003393888
618,0.5018007159
617,0.5031813383
616,0.5047060251
615,0.5063912868
614,0.5079007745
613,0.5091033578
612,0.5105163455
611,0.5116842985
610,0.5132408738
609,0.5143678784
608,0.5157729983
607,0.5171990395
606,0.5187523961
605,0.5201902986
604,0.5212982297
603,0.522813499
602,0.5240236521
601,0.5259599686
600,0.5267764926
599,0.5281459093
598,0.5289571881
597,0.529732585
596,0.5308474898
595,0.531801939
594,0.5322486162
593,0.5327581167
592,0.5329784155
591,0.532959342
590,0.5329011083
589,0.5328143239
588,0.5322452188
587,0.5314753056
586,0.5312623382
585,0.5307791233
584,0.5308685303
583,0.5305215716
582,0.5302978158
581,0.530408442
580,0.5305407643
579,0.5311948657
578,0.5314999223
577,0.5323791504
576,0.5330626369
575,0.5344961286
574,0.5357681513
573,0.5366610289
572,0.5386891365
571,0.5402216911
570,0.5414031744
569,0.543069303
568,0.5445140004
567,0.5460560918
566,0.5474511385
565,0.5492337942
564,0.5506792068
563,0.5522668958
562,0.5534580946
561,0.5554097891
560,0.5565351844
559,0.5581290722
558,0.5599537492
557,0.5611053705
556,0.5621147752
555,0.5628014803
554,0.5636929274
553,0.5643315911
552,0.5644730926
551,0.5643481612
550,0.5643075109
549,0.5637609363
548,0.5628451109
547,0.5617416501
546,0.561304152
545,0.5603839755
544,0.5589763522
543,0.557944715
542,0.557115674
541,0.5562200546
540,0.5554666519
539,0.5547568202
538,0.5543665886
537,0.5536624789
536,0.553438127
535,0.5531697869
534,0.5532054305
533,0.5535182953
532,0.5539687276
531,0.5547609329
530,0.5551813245
529,0.556663394
528,0.5576867461
527,0.5591718554
526,0.5603919625
525,0.561853528
524,0.5634498596
523,0.565425992
522,0.5670733452
521,0.5688390136
520,0.5707855225
519,0.5727370381
518,0.574827075
517,0.5768449306
516,0.5790910125
515,0.581394434
514,0.5832043886
513,0.5853700638
512,0.5876536369
511,0.5898913741
510,0.5917812586
509,0.5939738154
508,0.5957629681
507,0.5973297954
506,0.5987992883
505,0.6002881527
504,0.6008831263
503,0.6018284559
502,0.6026943922
501,0.6029209495
500,0.6031469107
499,0.6030439138
498,0.6026761532
497,0.6024615765
496,0.6027502418
495,0.6022560596
494,0.6024575233
493,0.6024866104
492,0.6030801535
491,0.6032246947
490,0.6042258143
489,0.605029881
488,0.6060267687
487,0.6075820923
486,0.6084274054
485,0.6100265384
484,0.611440897
483,0.6131070852
482,0.6143074632
481,0.6156415939
480,0.6173071265
479,0.6186448336
478,0.6194676161
477,0.620623529
476,0.6218884587
475,0.6227971315
474,0.6236125231
473,0.6250383258
472,0.6263654232
471,0.6271991134
470,0.6291755438
469,0.6305795312
468,0.6324304342
467,0.634734571
466,0.636862278
465,0.6391168833
464,0.6415899396
463,0.6440353394
462,0.6469478011
461,0.649481833
460,0.6525933146
459,0.6557434797
458,0.658677876
457,0.6616741419
456,0.6647281051
455,0.667788744
454,0.6704791784
453,0.6733885407
452,0.6762545705
451,0.6787674427
450,0.6808900237
449,0.6828387976
448,0.6846497655
447,0.6868216991
446,0.6883574128
445,0.689486146
444,0.690748632
443,0.6916755438
442,0.6926486492
441,0.6928791404
440,0.6939513683
439,0.6947175264
438,0.6950323582
437,0.6957607269
436,0.696860373
435,0.6984941959
434,0.6996004581
433,0.7016866207
432,0.703363657
431,0.7056396604
430,0.7084396482
429,0.7110911012
428,0.7142540216
427,0.7173826694
426,0.7205659151
425,0.7248302102
424,0.7280736566
423,0.7325738072
422,0.7366101742
421,0.740870297
420,0.7457213998
419,0.7503615022
418,0.7552171946
417,0.7600228786
416,0.7646728158
415,0.7698177695
414,0.7742019296
413,0.7782800794
412,0.781393528
411,0.7847146988
410,0.7866182923
409,0.7885780334
408,0.7891135812
407,0.7889904976
406,0.7893217802
405,0.7894498706
404,0.789260447
403,0.7893689871
402,0.7900007367
401,0.7908822298
400,0.7919328809
